,rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,gender,salary,tax_rate
0,rec-2778-org,sarah,bruhn,44.0,forbes street,wintersloe,kellerberrin,4510,vic,19300213.0,7535316,female,136344,0.37
1,rec-712-dup-0,jacob,lanyon,5.0,milne cove,wellwod,beaconsfield upper,2602,vic,19080712.0,9497788,male,59079,0.19
2,rec-1321-org,brinley,efthimiou,35.0,sturdee crescent,tremearne,scarborough,5211,qld,19940319.0,6814956,male,39987,0.19
3,rec-3004-org,aleisha,hobson,54.0,oliver street,inglewood,toowoomba,3175,qld,19290427.0,5967384,female,47962,0.19
4,rec-1384-org,ethan,gazzola,49.0,sheaffe street,bimby vale,port pirie,3088,sa,19631225.0,3832742,male,39988,0.19
5,rec-3981-org,alicia,hope,100.0,mansfield place,sunset,byford,6061,sa,19421201.0,7934773,female,44961,0.19
6,rec-916-org,benjamin,kolosche,78.0,keenan street,wingara,raymond terrace,3212,sa,19450918.0,5698873,male,39704,0.19
7,rec-1684-org,petreece,lusted,78.0,baseby place,,east branxton,6214,sa,19950620.0,8084076,female,44741,0.19
8,rec-63-dup-0,olivia,white,55.0,duffy street,shopping village,mirrabooka,2260,vic,19000106.0,4996142,female,114251,0.37
9,rec-3808-org,,maynard,32.0,yerralee road,,altona meadows,4019,nsw,19150402.0,5146525,None,39980,0.19
10,rec-112-org,joshua,rudd,78.0,max henry crescent,brentwood vlge,port douglas,2315,vic,19951125.0,1697892,male,59008,0.19
11,rec-3297-org,rachael,lomman,37.0,carlile street,clonturkle,bronte,2177,nsw,19910228.0,9462397,female,44612,0.19
12,rec-1315-org,joseph,dissinger,3.0,wilson street,braeburn,blacktown,2193,nsw,19370312.0,7419586,male,40228,0.19
13,rec-1050-org,sarah,verco,100.0,de salis street,iron bark ridge,north rocks,4210,nsw,19400826.0,9844628,female,45454,0.19
14,rec-2116-org,sidonie,burford,4.0,hartigan street,eventide homes,gunpowder,2045,vic,19471114.0,2590848,female,72367,0.19
15,rec-3232-org,andrew,carbone,191.0,jabanungga avenue,villa 147 henry kendall bayside,malvern east,5631,vic,19720809.0,6909412,male,14657,0.0
16,rec-1900-dup-1,kiara,everett,8.0,eddy crescent,legacy v lge,nobl ee park,6076,wa,,3831644,female,39430,0.19
17,rec-2460-dup-2,nicholas,hathaway,74.0,,flemington m zrkets,mill park,6011,nsw,19390305.0,1796925,male,40398,0.19
18,rec-3123-org,isabella,bastin,36.0,frater crescent,mlc building,st kilda east,6163,vic,19580628.0,9981914,female,23663,0.19
19,rec-2166-org,alexandra,matthews,174.0,port jackson circuit,old timers south,whaleback,2830,vic,19261017.0,2919332,female,55452,0.19
20,rec-1155-org,matthew,white,3.0,bean crescent,anglican church,sale,4221,vic,19630121.0,3038141,male,19617,0.19
