,date,service,soc_sec_number
0,2016-07-09,parking,7268666
1,2016-06-07,library,5123746
2,2016-02-12,library,5688328
3,2016-04-02,parking,7025882
4,2016-05-04,parking,1961257
5,2017-05-05,library,7408533
6,2016-08-25,library,2457655
7,2017-06-29,library,1481094
8,2017-12-13,parking,5600054
9,2016-09-05,parking,8733127
10,2016-01-23,parking,6679754
11,2017-12-30,library,8116985
12,2017-01-06,parking,7185188
13,2018-01-21,library,4643174
14,2017-12-19,library,8464129
15,2017-12-11,parking,7889304
16,2016-06-29,library,5040672
17,2016-07-31,library,9176125
18,2016-10-05,parking,2808300
19,2016-02-11,parking,2329295
20,2016-04-17,parking,5563722
21,2017-08-20,library,7444484
22,2017-01-24,library,6365849
23,2016-11-14,library,2417435
24,2016-09-28,library,4781174
25,2016-02-12,parking,2599140
26,2017-09-06,library,2641578
27,2016-06-23,parking,8383696
28,2016-04-06,parking,2300555
29,2016-10-22,parking,8844981
30,2017-12-05,parking,2217360
31,2017-02-12,library,7395322
32,2016-12-12,parking,3674664
33,2017-01-19,parking,4726313
34,2017-10-03,parking,2079530
35,2016-08-04,library,8030178
36,2016-07-28,library,8503905
37,2017-02-14,parking,3639813
38,2017-08-21,library,5244486
39,2017-07-05,library,7008105
40,2016-07-22,library,6267627
41,2016-09-01,parking,4910006
42,2016-09-12,library,8072356
43,2016-11-20,library,6173803
44,2017-08-05,library,4626922
45,2016-12-03,parking,5961934
46,2016-08-08,parking,3091059
47,2018-01-16,library,6956213
48,2017-09-11,parking,2705785
49,2017-05-08,library,2604606
50,2016-05-30,library,3775666
51,2017-12-02,parking,1995762
52,2016-08-07,parking,5284390
53,2016-06-07,library,9005916
54,2016-10-26,parking,6027054
55,2017-02-02,library,7514382
56,2016-06-08,library,8124196
57,2016-11-30,library,7645705
58,2017-04-20,parking,8157950
59,2017-05-05,library,1068495
60,2018-04-02,library,1188033
61,2016-10-03,parking,2681671
62,2016-04-30,parking,9707774
63,2018-01-24,library,3061064
64,2016-07-16,parking,7265542
65,2016-11-20,parking,8117515
66,2016-08-15,library,3867346
67,2017-05-29,parking,5888705
